the_geom,start_station_longitude,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,cartodb_id,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
,-74.01020234,343,2/1/2015 1:31,2/1/2015 1:37,417,Barclay St & Church St,40.71291224,116,306,Cliff St & Fulton St,40.70823502,-74.00530063,14707,Subscriber,1976,1
,-73.99009296,315,2/1/2015 1:31,2/1/2015 1:36,497,E 17 St & Broadway,40.73704984,117,229,Great Jones St,40.72743423,-73.99379025,19358,Subscriber,1966,1
,-73.98915076,762,2/1/2015 1:33,2/1/2015 1:46,444,Broadway & W 24 St,40.7423543,118,375,Mercer St & Bleecker St,40.72679454,-73.99695094,18667,Subscriber,1954,1
,-73.984844,362,2/1/2015 1:33,2/1/2015 1:39,291,Madison St & Montgomery St,40.713126,119,411,E 6 St & Avenue D,40.72228087,-73.97668709,17754,Subscriber,1991,1
,-73.9912551,870,2/1/2015 1:34,2/1/2015 1:48,479,9 Ave & W 45 St,40.76019252,120,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,18881,Subscriber,1985,2
,-74.00154702,852,2/1/2015 1:35,2/1/2015 1:49,348,W Broadway & Spring St,40.72490985,121,317,E 6 St & Avenue B,40.72453734,-73.98185424,20260,Subscriber,1973,1
,-73.98338988,692,2/1/2015 1:35,2/1/2015 1:47,485,W 37 St & 5 Ave,40.75038009,122,297,E 15 St & 3 Ave,40.734232,-73.986923,20322,Subscriber,1977,1
,-73.98997825,817,2/1/2015 1:37,2/1/2015 1:51,401,Allen St & Rivington St,40.72019576,123,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,16235,Subscriber,1961,1
,-73.98859651,469,2/1/2015 1:37,2/1/2015 1:45,2021,W 45 St & 8 Ave,40.75929124,124,480,W 53 St & 10 Ave,40.76669671,-73.99061728,16528,Subscriber,1975,1
,-74.00550867,916,2/1/2015 1:38,2/1/2015 1:54,404,9 Ave & W 14 St,40.7405826,125,251,Mott St & Prince St,40.72317958,-73.99480012,20381,Subscriber,1983,1
,-73.99074142,553,2/1/2015 1:38,2/1/2015 1:48,285,Broadway & E 14 St,40.73454567,126,411,E 6 St & Avenue D,40.72228087,-73.97668709,16810,Subscriber,1988,1
,-73.989111,404,2/1/2015 1:38,2/1/2015 1:45,312,Allen St & E Houston St,40.722055,127,128,MacDougal St & Prince St,40.72710258,-74.00297088,21462,Subscriber,1983,1
,-73.98379855,803,2/1/2015 1:39,2/1/2015 1:52,432,E 7 St & Avenue A,40.72621788,128,263,Elizabeth St & Hester St,40.71729,-73.996375,15391,Subscriber,1978,1
,-73.98713956,676,2/1/2015 1:41,2/1/2015 1:52,236,St Marks Pl & 2 Ave,40.7284186,129,454,E 51 St & 1 Ave,40.75455731,-73.96592976,18198,Subscriber,1986,1
,-73.99074142,450,2/1/2015 1:41,2/1/2015 1:48,285,Broadway & E 14 St,40.73454567,130,393,E 5 St & Avenue C,40.72299208,-73.97995466,20015,Subscriber,1993,1
,-73.97032517,261,2/1/2015 1:41,2/1/2015 1:46,164,E 47 St & 2 Ave,40.75323098,131,527,E 33 St & 2 Ave,40.744023,-73.976056,16455,Subscriber,1988,1
,-73.98789473,181,2/1/2015 1:41,2/1/2015 1:44,449,W 52 St & 9 Ave,40.76461837,132,495,W 47 St & 10 Ave,40.76269882,-73.99301222,19837,Subscriber,1978,1
,-73.98672378,365,2/1/2015 1:42,2/1/2015 1:48,237,E 11 St & 2 Ave,40.73047309,133,401,Allen St & Rivington St,40.72019576,-73.98997825,17661,Subscriber,1973,2
,-73.98191841,1377,2/1/2015 1:44,2/1/2015 2:07,499,Broadway & W 60 St,40.76915505,134,475,E 16 St & Irving Pl,40.73524276,-73.98758561,15230,Subscriber,1960,1
,-74.00214988,1138,2/1/2015 1:45,2/1/2015 2:04,368,Carmine St & 6 Ave,40.73038599,135,447,8 Ave & W 52 St,40.76370739,-73.9851615,19834,Subscriber,1990,1
,-73.99884222,776,2/1/2015 1:45,2/1/2015 1:58,478,11 Ave & W 41 St,40.76030096,136,509,9 Ave & W 22 St,40.7454973,-74.00197139,16863,Subscriber,1958,1
,-73.97121214,1270,2/1/2015 1:46,2/1/2015 2:08,501,FDR Drive & E 35 St,40.744219,137,223,W 13 St & 7 Ave,40.73781509,-73.99994661,18853,Subscriber,1974,1
,-73.97772429,1504,2/1/2015 1:50,2/1/2015 2:15,511,E 14 St & Avenue B,40.72938685,138,446,W 24 St & 7 Ave,40.74487634,-73.99529885,15782,Subscriber,1976,1
,-73.98057249,273,2/1/2015 1:51,2/1/2015 1:56,433,E 13 St & Avenue A,40.72955361,139,266,Avenue D & E 8 St,40.72368361,-73.97574813,20929,Subscriber,1961,1
